City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cabo San Lucas,22.8909,-109.9124,77.31,50,20,19.57,MX,1707345290
1,Novodvinsk,64.4165,40.8122,-20.22,100,99,3.69,RU,1707345290
2,Constanța,44.1833,28.65,45.28,68,100,13.33,RO,1707345245
3,New Norfolk,-42.7826,147.0587,66.7,54,63,3.18,AU,1707345291
4,George Town,5.4112,100.3354,80.53,93,20,3.44,MY,1707345292
5,Hawaiian Paradise Park,19.5933,-154.9731,76.51,87,100,3.44,US,1707345292
6,Happy Valley-Goose Bay,53.3168,-60.3315,17.91,49,75,3.44,CA,1707345207
7,Port-aux-Français,-49.35,70.2167,40.51,75,94,28.59,TF,1707345293
8,Manuguru,17.981,80.7547,73.45,74,7,3.51,IN,1707345293
9,Puerto Natales,-51.7236,-72.4875,46.85,90,90,14.32,CL,1707345294
10,Margaret River,-33.95,115.0667,67.51,46,0,3.76,AU,1707345112
11,Cacheu,12.2706,-16.1658,78.89,69,37,5.86,GW,1707345295
12,Kristiansund,63.1115,7.732,23.65,68,20,3.44,NO,1707345295
13,Jamestown,42.097,-79.2353,46.04,39,0,4.61,US,1707345233
14,Lodwar,3.1191,35.5973,86.65,41,3,9.33,KE,1707345296
15,Yanqul,23.5905,56.5501,53.89,66,63,5.08,OM,1707345296
16,Ushuaia,-54.8,-68.3,49.66,57,40,24.16,AR,1707345297
17,Invercargill,-46.4,168.35,60.03,66,43,15.01,NZ,1707345109
18,Al Ghayzah,16.2079,52.176,73.02,51,22,7.38,YE,1707345298
19,Waitangi,-43.9535,-176.5597,66.81,89,70,5.28,NZ,1707345298
20,Anadyr,64.75,177.4833,-1.7,84,75,20.13,RU,1707345193
21,Tazovsky,67.4667,78.7,11.64,96,100,11.01,RU,1707345249
22,Hirado,33.3597,129.5531,46.71,75,97,11.99,JP,1707345299
23,Port Elizabeth,-33.918,25.5701,68.29,79,0,10.36,ZA,1707345300
24,Bethel,41.3712,-73.414,42.76,45,37,3.0,US,1707345300
25,Giado,31.9582,12.0203,51.82,39,0,6.85,LY,1707345301
26,Albany,42.6001,-73.9662,38.35,62,71,2.28,US,1707345301
27,Katsuura,35.1333,140.3,44.38,78,99,5.06,JP,1707345302
28,Adamstown,-25.066,-130.1015,76.46,84,100,20.89,PN,1707345303
29,Kilkenny,52.6542,-7.2522,41.74,87,100,7.0,IE,1707345013
30,Pingzhuang,42.0372,119.2889,13.08,51,4,2.1,CN,1707345304
31,Bordj Ghdir,35.9011,4.8981,41.92,60,1,3.31,DZ,1707345304
32,Inhambane,-23.865,35.3833,76.62,77,1,7.45,MZ,1707345026
33,Tanjung Pandan,-2.75,107.65,78.85,85,100,4.25,ID,1707345305
34,Klyuchi,52.2667,79.1667,27.25,94,100,9.13,RU,1707345306
35,Punta Arenas,-53.15,-70.9167,53.71,58,75,17.27,CL,1707345306
36,Sitka,57.0531,-135.33,37.29,70,20,0.0,US,1707345307
37,Blackmans Bay,-43.0167,147.3167,65.52,68,72,2.75,AU,1707345146
38,Konark,19.9,86.1167,72.0,82,84,4.63,IN,1707345308
39,Al Bawīţī,28.3492,28.8659,55.09,52,0,5.08,EG,1707345309
40,Utrik,11.2278,169.8474,79.81,78,100,20.8,MH,1707345310
41,Lompoc,34.6391,-120.4579,57.69,63,100,12.66,US,1707345159
42,Najrān,17.4924,44.1277,56.05,53,18,5.7,SA,1707345311
43,Iqaluit,63.7506,-68.5145,-4.27,65,75,13.8,CA,1707345012
44,Fale old settlement,-9.3852,-171.2468,83.39,80,100,20.0,TK,1707345312
45,Ürümqi,43.801,87.6005,0.55,85,75,2.24,CN,1707345180
46,Arraial do Cabo,-22.9661,-42.0278,80.56,78,20,6.91,BR,1707345314
47,Stanley,54.868,-1.6985,30.52,91,0,2.3,GB,1707345314
48,Yellowknife,62.456,-114.3525,4.41,94,100,8.05,CA,1707345141
49,Constitución,-35.3333,-72.4167,67.51,59,9,20.13,CL,1707345315
50,Tralee,52.2704,-9.7026,41.74,88,100,15.66,IE,1707345315
51,Bāzārak,35.3129,69.5152,20.79,42,0,12.39,AF,1707345269
52,Kucha,41.7278,82.9364,24.82,71,32,5.19,CN,1707345316
53,Chui,-33.6971,-53.4616,73.89,79,23,10.71,UY,1707345049
54,Alice Springs,-23.7,133.8833,77.22,23,56,7.0,AU,1707345317
55,Grytviken,-54.2811,-36.5092,50.27,65,100,13.42,GS,1707345318
56,Ust-Nera,64.5667,143.2,-21.48,100,100,2.19,RU,1707345318
57,Egilsstadir,65.2653,-14.3948,21.11,73,75,10.36,IS,1707345319
58,Paranapanema,-23.3886,-48.7228,77.16,49,100,3.76,BR,1707345319
59,Hiratachō,35.4333,132.8167,37.42,100,75,1.14,JP,1707345320
60,Ingeniero Jacobacci,-41.3427,-69.5448,72.41,15,75,14.45,AR,1707345126
